claim_id,claim_text,estimator,scale,model_scope,evidence_for,evidence_against,validation_status,replication_status,allowed_wording,prohibited_wording,source_paths
C11,Patch probes are worse on average than the global probe on these frozen outcomes.,probe outcomes,same,ViT-B (and all five CMCLA models),mean Delta_adapt=-0.1012; frac patch R^2 > global R^2 =0.00195,positive Q-adaptation association is relative only,supported,five_encoders_mean_adaptation_negative,patch probes worse on average,local probes superior,outputs/geometry/physics_pointwise_residual_curvature_probe_relation/correlation_contrasts.csv; outputs/geometry/physics_cross_model_curvature_local_adaptation/per_model_primary.json
C12,The ViT-B Q-probe associations survive 32+32 geometry-resampling Q refits of the same representation population.,Q K_H,same,ViT-B,conditional and object-support intervals exclude 0 in the original direction; field pairwise 0.899 / 0.809,object-support is delete-20% not a new dataset; other encoders not resampled,supported_fixed_dataset_robustness,not_independent_sample_replication,geometry-resampling stable associations,independent-dataset replication; Q is calibrated geometry,outputs/geometry/physics_q_geometry_resampling_stability/association_stability.csv; outputs/geometry/physics_q_geometry_resampling_stability/decision.json
C13,Fixture-validated D-residual C_H is unrelated to global OOF R^2 on frozen ViT-B.,D-residual C_H=(1/d)tr_g B^S,"d=16; 400 epochs; 3 seeds",ViT-B,P1 rho_ctl(C_H R_G^2)=+0.0297 CI includes 0 p_Holm=1,raw rho=0.198 is uncontrolled,supported_null,single_encoder,globally null for R_G^2,positive global relationship; performance,outputs/geometry/physics_pointwise_residual_curvature_probe_relation/decision.json; outputs/geometry/physics_pointwise_residual_curvature_probe_relation/primary_tests.csv
C14,On frozen ViT-B D-residual C_H is associated with worse patch OOF R^2 and a larger patch disadvantage.,D-residual C_H,same,ViT-B,P2 rho_ctl(C_H R_P^2)=-0.220; rho_ctl(C_H Delta_adapt)=-0.207; P3 Delta_rho=-0.249 opposite preregistered greater test,does not imply Q is wrong; cross-model untested,supported_opposite_to_preregistered_contrast,single_encoder,worse patch R^2; larger patch disadvantage,positive local decodability; Q story reproduced,outputs/geometry/physics_pointwise_residual_curvature_probe_relation/decision.json
C15,Q K_H and D-residual C_H are distinct statistics with opposite adaptation signs on ViT-B.,Q K_H vs D-residual,same anchors,ViT-B,raw rho(C_H K_H)=-0.284; Delta_adapt +0.153 vs -0.207,controlled rho(C_H K_H)=+0.230 after radius/label-var controls,supported_distinct_estimands,single_encoder,distinct pointwise vs finite-patch statistics,the curvature signal,outputs/geometry/physics_pointwise_residual_curvature_probe_relation/q_comparison.csv
C16,The joint ViT-B K_H pattern (global MSE penalty plus positive adaptation) does not reproduce across DINOv3 CLIP ConvNeXt-B ViT-L.,Q K_H,"d=16 k=2048 n=512",five encoders,models_with_both=[vit_base]; ViT-L C_A=+0.181 without C_G; others opposite,all five passed reliability gates so failure is not mere noise,supported_representation_specific,cross_encoder_K_H_only,representation-specific K_H associations,general law of curvature,outputs/geometry/physics_cross_model_curvature_local_adaptation/decision.json; outputs/geometry/physics_cross_model_curvature_local_adaptation/per_model_primary.json
C17,Full directional Q K_dir is not interchangeable with K_H; most energy is trace-free and ViT-B adaptation sign flips.,Q K_dir,same,five encoders / ViT-B,aniso share 0.943; ViT-B rho(K_dir Delta_adapt)=-0.159 vs K_H +0.153; aggregate C_A_bar=-0.073,K_dir C_G_bar=+0.055 CI does not exclude 0,supported_divergence,partial_cross_model,full directional quadratic bending,KHcross tables as full curvature,outputs/geometry/physics_cross_model_full_curvature_reconciliation/central_comparison_table.csv; outputs/geometry/physics_cross_model_full_curvature_reconciliation/summary.json
C18,At frozen rank and neighbourhood the physical label has held-out unrestricted quadratic gain associated with K_H.,Delta_Q and Q K_H,same,ViT-B,median Delta_Q=0.0206 CI[0.0197 0.0216]; rho_ctl(K_H Delta_Q)=0.111; BS captures 0.938 of UQ,synthetic shuffle gate failed,supported_real_data_unresolved_synthetic,single_encoder,held-out local quadratic label structure,curvature-mediated decoding; proven chart link,outputs/geometry/physics_quadratic_label_chart_alignment/decision.json; outputs/geometry/physics_quadratic_label_chart_alignment/primary_inference.json
C19,Quadratic label gain does not mediate the K_H-adaptation association.,Delta_Q,same,ViT-B,rho_ctl(K_H Delta_adapt | Delta_Q)=0.205 vs 0.153 unmediated,n/a,supported_no_mediation,single_encoder,does not mediate adaptation,quadratic gain explains adaptation,outputs/geometry/physics_quadratic_label_chart_alignment/secondary_inference.json
C20,geometry_regularized_quadratic_decoding is an audit interpretation not a decision.json label.,Delta_Q / BS,same,ViT-B,audit COMPLETE audit_interpretation; median numerical rank 136,QLCA decision remains quadratic_chart_link_unresolved,audit_only,n/a,audit interpretation of geometry-derived regularization,frozen replacement of quadratic_chart_link_unresolved,outputs/geometry/physics_quadratic_label_chart_alignment_audit/COMPLETE.json
C21,neither_estimator_validated answers strict historical D-full and Q tensor gates not operational uselessness of every derived measure.,D-full and Q,D=28 fixtures,synthetic,both historical gates fail; residual clean/stress gates pass internally,must not be used to discard D-residual or Q-vs-T2 rank,supported_scope_limitation,n/a,historical instruments failed matched tensor gates,nothing geometric is usable,outputs/geometry/known_curvature_dual_estimator_robustness/decision.json; outputs/geometry/known_curvature_estimator_operating_characteristics/decision.json
C22,Colleague D-full results are reproduced on cubic and ridge; Swiss-roll Spearman disagrees with the historical 0.553 figure.,D-full,R1-R4,synthetic,primary label colleague_decoder_results_reproduced; 3/4 cells pass,R1 rho fail,supported_with_recorded_discrepancy,reproduction,reproduced with Swiss discrepancy,exact Swiss Spearman match,outputs/geometry/pointwise_decoder_curvature_reproduction/decision.json; outputs/geometry/pointwise_decoder_curvature_reproduction/reproduction_cells.csv
C23,On known fixtures replacing the exact tangent with PCA is the principal Q loss.,Q,k=2048/512 F0-F4,synthetic,Q1 T2 rho=0.932; Q3 PCA rho=0.311 drop=0.621,ridge/split not the principal loss,supported,fixture_ablation,PCA tangent estimation failure,Q is intrinsically uninformative,outputs/geometry/known_curvature_instrument_failure_localization/decision.json
C24,Mean and traceless quadratic-bending components have distinct predictive roles.,Q K_H vs K_tf,d=16 k=2048,five encoders / ViT-B,unique KTF vs MSE_G_bar=+0.077; unique KTF vs Delta_Q=+0.320; unique KH n.s.,exploratory flag true,supported_exploratory,cross_encoder_components,distinct mean and traceless roles,single curvature number,outputs/geometry/physics_curvature_component_predictive_decomposition/decision.json; outputs/geometry/physics_curvature_component_predictive_decomposition/summary.json
C25,The NeurReps-era K_H-error association at d=16 is scale-dependent.,Q K_H,d-scale sweep,ViT-B,rho16 MSE=0.227; scale_sign_frac_mid_upper=1.0; label claim_supported_but_scale_dependent,does not cover adaptation or residual geometry,supported_scale_dependent,single_encoder,scale-dependent error association,scale-invariant law,outputs/geometry/physics_curvature_probe_submission_validation/decision.json
C26,Cross-model D-residual probe relations are untested.,D-residual,proposed d=16 512 anchors,DINOv3 CLIP ConvNeXt-B ViT-L,n/a,experiment not run,unresolved,not_run,untested,replicated across encoders,outputs/geometry/curvature_program_synthesis/CURVATURE_PROGRAM_SUMMARY.md
C27,Object-support resampling is a delete-20% perturbation of the same 16384-object ViT-B population.,Q K_H,keep_frac~0.8,ViT-B,scheme B n=32; k_prime=1638,not a new survey or encoder,supported_definition,fixed_dataset,delete-20% of the same representation population,independent new dataset,outputs/geometry/physics_q_geometry_resampling_stability/reuse_manifest.json; outputs/geometry/physics_q_geometry_resampling_stability/METHODS.md
C28,Synthetic 1-5% fixture noise is below the observed ViT-B decoder reconstruction residual scale; that residual is not observational noise.,D-residual / Q comparator,ViT-B recon RMSE~0.213 vs synth 0.01-0.05,ViT-B vs fixtures,noise_scale_comparison.csv classification below_observed_estimator_residual_scale,quadratic residual/radius unresolved; augmentation unresolved,supported_as_comparator_only,n/a,empirical scale comparator,realistic observational noise,outputs/geometry/known_curvature_estimator_operating_characteristics/noise_scale_comparison.csv
C29,Decoder reconstruction residual of the 600-epoch scale-match AE is not the D-residual protocol and does not recover the Q-R^2 association.,historical AE H,600 epochs,ViT-B,rho_point_R2=-0.019; rho_KH_R2=-0.240,var_explained=0.947,supported_incompatibility,single_seed_different_protocol,incompatible historical AE protocol,D-residual already tested at 600 epochs,outputs/geometry/physics_ae_local_patch_scale_match/summary.json; outputs/geometry/physics_pointwise_residual_curvature_probe_relation/parity.json
C30,Intrinsic Scal is a separate Gauss-type scalar and is not K_H or K_dir.,Scal vs Q,F4 dual-estimator,synthetic,D-residual Scal rho=0.862; Q Scal T2 rho=0.458,Q Scal gates false,supported_terminology,fixture,intrinsic scalar from residual second fundamental form,K_H is intrinsic curvature,outputs/geometry/known_curvature_dual_estimator_robustness/decoder_residual_metrics.csv; outputs/geometry/known_curvature_dual_estimator_robustness/quadratic_T2_metrics.csv
C31,The initial fixture audit mixed estimands; F0 full Euclidean curvature is not residual hallucination.,mixed D/Q,F0-F4,synthetic,label mean_vs_full_curvature_divergence; dual-estimator later separated II^E vs B^S,F0 decoder K_dir=8.47 vs Q~0,supported_reinterpretation,n/a,specify full Euclidean vs sphere-residual target,decoder hallucinated curvature on a great sphere (unqualified),outputs/geometry/known_curvature_point_patch_fixture_audit/decision.json; outputs/geometry/known_curvature_dual_estimator_robustness/decoder_residual_metrics.csv
C32,Cross-model D-residual remaining untested is a programme gap not a negative result.,D-residual,proposed,four additional encoders,synthesis §14,no COMPLETE exists,unresolved,not_run,untested,failed to replicate,outputs/geometry/curvature_program_synthesis/CURVATURE_PROGRAM_SUMMARY.md
